ID,Proposal title,Proposal state,Pending proposal state,Session type,Track,created,Tags,Abstract,Description,Session image,Speaker IDs,Speaker names
BEHTMU,Machine learning with missing values,confirmed,,Talk,,2022-06-06T19:41:32.753750+00:00,,"This talk will cover how to build predictive models that handle well missing values, using scikit-learn. It will give on the one side the statistical considerations, both the classic statistical missing-values theory and the recent development in machine learning, and on the other side how to efficiently code solutions.","In many data-science applications, the data may come with missing values. There is a rich statistical literature on performing analysis with missing values. However, machine learning brings new tradeoffs: how to deal with missing-values at test time? Should we really care about recovering the model suitable for fully-observed data? I will cover both the classic theory and recent theoretical advances. I will show how scikit-learn can be used to implement various solutions, and how these illustrate the theory.

Tentative outline:
- The classic statistical view on missing values
   - Missing at Random Settings: why it is important
   - Imputation, and corresponding scikit-learn tools
- Prediction for missing values
   - Simple predictors need very good predictors
   - Rich predictors work with simple imputers, even outside Missing at Random settings",,MXCVQL,Gaël Varoquaux
BYCNN7,Scaling scikit-learn performances: introducing new computational foundations,confirmed,,Talk (long),,2022-06-13T19:44:07.693957+00:00,,"scikit-learn is an open-source scientific library for machine learning in Python. In this talk, we will present the recent work carried over by the scikit-learn core-developers team to improve its native performance.","scikit-learn is an open-source scientific library for machine learning in Python.

Since its first release in 2010, the library gained a lot of traction in education, research and the wider society, and has set several standards for API designs in ML software. Nowadays scikit-learn is of one the most used scientific library in the world for data analysis. It provides reference implementations of many methods and algorithms to a userbase of millions.

With the renewed interest in machine-learning based methods in the last years, other libraries providing efficient and highly optimised methods (such as for instance LightGBM and XGBoost for Gradient-Boosting-based methods) have emerged. Those libraries have encountered a similar success, and have put performance and computational efficiency as top priorities.

In this talk, we will present the recent work carried over by the scikit-learn core-developers team to improve its native performance.

This talk will cover elements of the PyData ecosystem and the CPython interpreter with an emphasis on their impact on performances. Computationally expensive patterns will then be covered before presenting the technical choices associated with the new foundational implementations, keeping the project requirements in mind. At the end, we will take a quick look at the future work and collaborations on hardware-specialised computational kernels.",,P8VJPK,Julien Jerphanion
BZDJXH,"CLAIMED - An open source unified platform for batch, streaming and microservices based data science",confirmed,,Poster,,2022-07-04T17:07:32.428916+00:00,,"Data are processed in pipelines – either an entire data set, in batches or one by one. A variety of programming languages, frameworks and libraries exists. In CLAIMED – the component library for AI, Machine Learning, ETL and Data Science – we provide an opinionated set of coarse grained components implemented as jupyter notebooks. Through C3, the claimed component compiler those can be (as of now) transformed into Kubeflow Pipeline Components, Airflow Operators or simple (docker) container images to be executed on Knative. An adapter implemented as side car transforms those into either streaming components (currently http(s) and Kafka) or micro services – with scale to zero support. Using the jupyter lab Elyra pipeline editor and CLAIMED, anybody can create data science pipelines without programming skills. But the source code is only one click away. The jupyter notebook backing the component is available for review, adjustments or improvements of the components.","Data are processed in pipelines – either an entire data set, in batches or one by one. A variety of programming languages, frameworks and libraries exists. In CLAIMED – the component library for AI, Machine Learning, ETL and Data Science – we provide an opinionated set of coarse grained components implemented as jupyter notebooks. Through C3, the claimed component compiler those can be (as of now) transformed into Kubeflow Pipeline Components, Airflow Operators or simple (docker) container images to be executed on Knative. An adapter implemented as side car transforms those into either streaming components (currently http(s) and Kafka) or micro services – with scale to zero support. Using the jupyter lab Elyra pipeline editor and CLAIMED, anybody can create data science pipelines without programming skills. But the source code is only one click away. The jupyter notebook backing the component is available for review, adjustments or improvements of the components.",,NDMWWC,Romeo Kienzler
E7Z3VY,"Increase citations, ease review & collaboration – Making machine learning in research reproducible",confirmed,,Tutorial,,2022-06-05T15:42:08.873583+00:00,,"Every scientific conference has seen a massive uptick in applications that use some type of machine learning. Whether it’s a linear regression using scikit-learn, a transformer from Hugging Face, or a custom convolutional neural network in Jax, the breadth of applications is as vast as the quality of contributions.

This tutorial aims to provide easy ways to increase the quality of scientific contributions that use machine learning methods. The reproducible aspect will make it easy for fellow researchers to use and iterate on a publication, increasing citations of published work. The use of appropriate validation techniques and increase in code quality accelerates the review process during publication and avoids possible rejection due to deficiencies in the methodology. Making models, code and possibly data available increases the visibility of work and enables easier collaboration on future work.

This work to make machine learning applications reproducible has an outsized impact compared to the limited additional work that is required using existing Python libraries.","One of the tenets of science is to be reproducible. 

But if we always did what we’re supposed to, the world would be a better and easier place. However, there are benefits to making science reproducible that directly benefit researchers, especially in computational science and machine learning. These benefits are like the title says:

- Easier review cycles
- More citations
- More collaboration

But it goes further. Reproducibility is a marketable skill outside of academia. When we work in companies that apply data science or machine learning, these companies know that technical debt can slowly degrade a code base and in some cases like Amazon and Google, the machine learning system has to be so reproducible that we expect the entire training and deployment to work automatically on a press of a button. Technical debt is also a problem in academia, but here it is more framed in the devastating prospect of the only postdoc leaving that knows how to operate the code base.

Luckily, we have a lot of work cut out for us already!

These benefits, and a few others, like making iteration, and therefore frequent publication easier, do not come at a proportional cost. Most of the methods to increase code quality in machine learning projects of applied scientists are in fact fairly easy to set up and run!

So how do we actually go about obtaining these goals?

## Model Evaluation

Applying machine learning in an applied science context is often method work. We build a prototype model and expect want to show that this method can be applied to our specific problem. This means that we have to guarantee that the insights we glean from this application generalize to new data from the same problem set.

This is why we usually import `train_test_split()` from scikit-learn to get a validation set and a test set. But in my experience, in real-world applications, this isn’t always enough. In science, we usually deal with data that has some kind of correlation in some kind of dimension. Sometimes we have geospatial data and have to account for Tobler’s Law, i.e. things that are closer to each other matter more to each other than those data points at a larger distance. Sometimes we have temporal correlations, dealing with time series, where data points closer in time may influence each other.

Not taking care of proper validation, will often lead to additional review cycles in a paper submission. It might lead to a rejection of the manuscript which is bad enough. In the worst case scenario, our research might report incorrect conclusions and have to be retracted. No one wants rejections or even retractions.

So we’ll go into some methods to properly evaluate machine learning models even when our data is not “independent and identically distributed”.

## Benchmarking

Another common reason for rejections of machine learning papers in applied science is the lack of proper benchmarks. This section will be fairly short, as it differs from discipline to discipline.

However, any time we apply a superfancy deep neural network, we need to supply a benchmark to compare the relative performance of our model to. These models should be established methods in the field and simpler machine learning methods like a linear model, support-vector machine or a random forest.

## Model Sharing

Some journals will require the sharing of code or models, but even if they don’t we might benefit from it.

Anytime we share a model, we give other researchers the opportunity to replicate our studies and iterate upon them. Altruistically, this advances science, which in and of itself is a noble pursuit. However, this also increases the citations of our original research, a core metric for most researchers in academia.

In this section, we explore how we can export models and make our training codes reproducible. Saving a model from scikit-learn is easy enough. But what tools can we use to easily make our training code adaptable for others to import and try out that model? Specifically, I want to talk about:

- Automatic Linters
- Automatic Formatting
- Automatic Docstrings and Documentation
- Docker and containerization for ultimate reproducibility

## Testing

Machine learning is very hard to test. Due to the nature of the our models, we often have soft failures in the model that are difficult to test against.

Writing software tests in science, is already incredibly hard, so in this section we’ll touch on 

- some fairly simple tests we can implement to ensure consistency of our input data
- avoid bad bugs in data loading procedures
- some strategies to probe our models

## Interpretability

One way to probe the models we build is to test them against the established knowledge of domain experts. In this final section, we’ll explore how to build intuitions about our machine learning model and avoid pitfalls like spurious correlations. These methods for model interpretability increase our trust into models, but they can also serve as an additional level of reproducibility in our research and a valuable research artefact that can be discussed in a publication.

This part of the tutorial will also go into some considerations why the feature importance of tree-based methods can serve as a start but often shouldn’t be used as the sole source of truth regarding feature interpretation of our applied research.

This section will introduce tools like `shap`, discuss feature importance, and manual inspection of models.

## Ablation Studies

Finally, the gold standard in building complex machine learning models is proving that each constituent part of the model contributes something to the proposed solution. 

Ablation studies serve to dissect machine learning models and evaluate their impact.

In this section, we’ll finally discuss how to present complex machine learning models in publications and ensure the viability of each part we engineered to solve our particular problem set.

## Conclusion

Overall, this tutorial is aimed at applied scientists that want to explore machine learning solutions for their problems.

This tutorial focuses on a collection of “easy wins” that scientists can implement in their research to avoid catastrophic failures and increase reproducibility with all its benefits.",,HCWQZW,Jesper Dramsch
EFJC8C,Open Source Mission Support System for research aircraft missions,confirmed,,Talk,,2022-06-06T16:33:46.132790+00:00,,"The Mission Support System Software (MSS) is a client/server application developed in the community to collaboratively create flight plans based on model data. Through conda-forge, the components of MSS can be used on different platforms.","Examining the atmosphere by research aircraft is a costly and highly collaborative effort involving a large community of scientists, their one-of-a-kind measurement instruments and a very limited amount of available flight-hours.
The MSS Software (mss.rtfd.io) is used for planning research aircraft missions. Such missions involve the measurement of interesting atmospheric situation by research aircraft. These missions typically involve a wide range of one-of-a-kind instruments designed and operated by different scientific institution, with different requirements and operational conditions.
The software project contains several components. Scripts for automated download and process of weather forecast data for the server components. This model forecast data is needed to guide the aircraft to the location of interest. The data is visualized by an extended OGC webmap server capable of visualising the big data generated by complex 3-D atmospheric simulations in a highly configurable manner and delivering the resulting small PNG images over the internet. Another server based on socketIO enables collaborative working from different locations on the same flightpath simultaniously. The flightpath editor is a QT UI that allows to overlay the pictures produced by our server. The flightpath can be changed accordingly vertically and horizontally. We provide also a view based on the simulated data to visualize data similar to an insitu measurement along the flightpath.",,BY73RP,Reimar Bauer
EXQHBU,Discovering Mathematical Optimization with Python,confirmed,,Talk,,2022-06-13T21:41:22.792633+00:00,,"Mathematical optimization is the selection of the best alternative with respect to some criterion, among a set of candidate options. 

There are multiple applications of mathematical optimization. For example, in investment portfolio optimization, we search for the best way to invest capital given different alternatives. In this case, an optimization problem will allow us to choose a portfolio that minimizes risk (or maximizes profit), among all possible allocations that meet the defined requirements.

In most cases, mathematical optimization is used as a tool to facilitate decision-making. Sometimes these decisions can be made automatically in real-time.

This talk will explore how to formulate and solve mathematical optimization problems with Python, using different optimization libraries.","Mathematical optimization is an important tool in decision-making. With it, it is possible to optimize the economic benefit, time, distance, or any desired variable. 

The first step in optimization is the construction of a model. A good choice of model is essential. If the model is too simple, it will not provide useful information about the problem. If it is too complex, it may be too difficult to solve. After the model has been created, it is possible to solve the problem, usually with the help of a computer.

It is important to note that there is no universal optimization algorithm; rather, there are different algorithms that are adapted to different optimization problems. The correct choice of the right algorithm for a specific application usually rests with the user. This choice is important, as it can determine whether the problem is solved quickly or slowly and, indeed, whether the solution is found. 

In this talk we will learn how to solve mathematical optimization problems, using Python and different optimization libraries.",,HSUYYR,Pamela Alejandra Bustamante Faúndez
F399CM,Emergent structures in noisy channel message-passing,confirmed,,Talk,,2022-06-13T08:03:18.100369+00:00,,"In this [blog post](https://ichko.github.io/emergent-structures-in-robust-message-passing), we will explain a mechanism for generating neural network glyphs, like the glyphs we use in human languages. Glyphs are purposeful marks, images with 2D structure used to communicate information. We will use neural networks to generate those structured images, by optimizing for robustness.",[Emergent structures in noisy channel message-passing](https://ichko.github.io/emergent-structures-in-robust-message-passing) is a blog post I wrote explaining a few experiments I did with neural network image generation. The idea is that we want to generate images that are robust under some noise. So we generate images from random representations we perturb them and we try to decode the initial representation. This leads to the generator learning to create images with 2D structures.,,Z7UGMZ,Iliya Zhechev
GMBXCA,Python in Storm,confirmed,,Poster,,2022-06-06T02:38:56.711355+00:00,,"The advancement and development in the field of Technology and Communication call for a need for Real-time data processing that is fast and fault-tolerant. Apache Storm provides an epoch platform to develop applications that can process a multitude of data in real-time. Being distributed, Storm is predominantly fast and maintains high accuracy with its topological analysis and task completion checks.","The advancement and development in the field of Technology and Communication call for a need for Real-time data processing that is fast and fault-tolerant. Apache Storm is a distributed framework for the real-time processing of Big Data. Parallelism is the principle of the storm. Here the same code is executed on multiple nodes with different input data. Apache Storm utilizes Zookeeper for coordination. This enables Storm to start right from where it left even after the restart. Moreover, it is free, reliable, scalable, and fault-tolerant.

Outline 
1. Introduction to Apache Storm
- Design and Working, Real-time stream processing, Storm vs Hadoop, Advantages.
2. How Python effortlessly interfaces with Storm
- Python module to interface with the storm.
3. Demo and Q/A

Join in to find out how python persists in the storm world.",,KD8LS3,Soundharya Khanapur
GSQFSV,Introduction to scikit-learn II,confirmed,,Tutorial,,2022-07-13T22:59:38.388576+00:00,,"This tutorial will provide a beginner introduction to scikit-learn. Scikit-learn is a Python package for machine learning.

This tutorial will be subdivided into three parts. First, we will present how to design a predictive modeling pipeline that deals with heterogeneous types of data. Then, we will go more into detail in the evaluation of models and the type of trade-off to consider. Finally, we will show how to tune the hyperparameters of the pipeline.","This tutorial will provide a beginner introduction to scikit-learn. Scikit-learn is a Python package for machine learning.

This tutorial will be subdivided into three parts. First, we will present how to design a predictive modeling pipeline that deals with heterogeneous types of data. Then, we will go more into detail in the evaluation of models and the type of trade-off to consider. Finally, we will show how to tune the hyperparameters of the pipeline.",,"HRFVLY, FQUEVZ","Arturo Amor, Arkadiusz Trawiński, PhD"
HPTWUT,"Sliding into Causal Inference, with Python!",confirmed,,Talk (long),,2022-06-04T08:17:39.809937+00:00,,"What would the world look like if Russia had won the cold war? If the Boston Tea Party never happened? And where would we all be if Guido van Rossum had decided to pursue a career in theatre? Unfortunately we don't have the technology to slide into parallel worlds and explore alternative histories. However it turns out we *do* have the tools to simulate parallel realities and give decent answers to intriguing 'what if' questions. This talk will provide a gentle introduction to these tools, professionally known as Causal Inference.","The talk is aimed at data practitioners, preferably with basic knowledge of Python and statistics. That said, the focus of the talk is to nurture an intuitive understanding of the subject first, and implementation second. By the end of the talk I hope audience members could identify causal inference problems, have an intuitive understanding of the different tools they can apply to these problems, and have the appetite to further their learning!


The talk will cover the problem of answering causal questions (The Fundamental Problem of Causal Inference) and the main tools to address it. The emphasis will be on intuitive understanding how the different tools work, rather than pesky underlying assumptions, complex notation or convoluted literature. Just enough theory and lines of code to get the message across.

Outline:
 - *Introduction to parallel universes and ""what if?"" questions?* [2 mins]
 - *The golden standard for causal inference.*  We'll discuss randomised controlled experiments and also set the scene for cases these aren't possible. [6 mins]

Three key tools:
- *Differences-in-Differences* [3 mins]
- *Propensity score methods* [4 mins]
- *Synthetic Controls* (or: creating an alternate universe on your machine) [5 mins]

What's next: [5 mins]
A wrap up that includes:
- *What we didn't cover* (a few words about other techniques, DAGs, etc.)
- *Quick overview of Python tools for causal inference*
- *Where do we go from here* - resources, curriculums, readings and communities.",,7999Z9,Alon Nir
HYLCNT,Introduction to scikit-learn I,confirmed,,Tutorial,,2022-07-13T22:57:57.043315+00:00,,"This tutorial will provide a beginner introduction to scikit-learn. Scikit-learn is a Python package for machine learning.

This tutorial will be subdivided into three parts. First, we will present how to design a predictive modeling pipeline that deals with heterogeneous types of data. Then, we will go more into detail in the evaluation of models and the type of trade-off to consider. Finally, we will show how to tune the hyperparameters of the pipeline.","This tutorial will provide a beginner introduction to scikit-learn. Scikit-learn is a Python package for machine learning.

This tutorial will be subdivided into three parts. First, we will present how to design a predictive modeling pipeline that deals with heterogeneous types of data. Then, we will go more into detail in the evaluation of models and the type of trade-off to consider. Finally, we will show how to tune the hyperparameters of the pipeline.",,"HRFVLY, FQUEVZ","Arturo Amor, Arkadiusz Trawiński, PhD"
HYZRBT,Introduction to Audio & Speech Recognition,confirmed,,Tutorial,,2022-06-03T14:15:00.681069+00:00,,"The audio (& speech) domain is going through a massive shift in terms of end-user performances. It is at the same tipping point as NLP was in 2017 before the Transformers revolution took over. We’ve gone from needing a copious amount of data to create Spoken Language Understanding systems to just needing a 10-minute snippet. 

This tutorial will help you create strong code-first & scientific foundations in dealing with Audio data and build real-world applications like Automatic Speech Recognition (ASR) Audio Classification, and Speaker Verification using backbone models like Wav2Vec2.0, HuBERT, etc.","Unlike general Machine Learning problems where we either classify i.e. segregate a data point into a pre-defined class or regress around a continuous variable, audio related problems can be slightly more complex. Wherein, we either go from an audio representation to a text representation (ASR) or separate different layers of audio (Diarization) and so on. This tutorial will not only help you build applications like these but also unpack the science behind them using a code-first approach.

Every step of the way we’ll first write and run some code and then take a step back and unpack it all till it makes sense. We’ll make science *fun* again :)

The tutorial will be divided into 3 key sections:

1. Read, Manipulate & Visualize Audio data
2. Build your very own ASR system (using pre-trained models like Wav2Vec2.0) & deploy it
3. Create an Audio Classification pipeline & infer the model for other downstream audio tasks 

At the end of the tutorial, you’ll develop strong intuition about Audio data and learn how to leverage large pre-trained backbone models for downstream tasks. You’ll also learn how to create quick demos to test and share your models.

Libraries: HuggingFace, SpeechBrain, PyTorch & Librosa",,DHPEJJ,Vaibhav Srivastav
HZYDMX,Privacy Enhancing Technologies for Data Science,confirmed,,Keynote,,2022-08-23T13:17:31.076082+00:00,,"Privacy is becoming an increasingly pressing topic in data collection and data science. Thankfully, Privacy Enhancing Technologies (or PETs) are maturing alongside the growing demand and concern. In this keynote, we’ll explore what possibilities emerge when using Privacy Enhancing Technology like differential privacy, encrypted computation and federated learning and investigate how these technologies could change the face of data science today.","Privacy is becoming an increasingly pressing topic in data collection and data science. Thankfully, Privacy Enhancing Technologies (or PETs) are maturing alongside the growing demand and concern. In this keynote, we’ll explore what possibilities emerge when using Privacy Enhancing Technology like differential privacy, encrypted computation and federated learning and investigate how these technologies could change the face of data science today.",,KZSBEH,Katharine Jarmul
JBPYFQ,"Education - Materials, methods, tools",confirmed,,Maintainer track,,2022-08-29T08:55:56.550497+00:00,,"This session focuses on issues related to education in the ecosystem, from three different aspects, and during the session, we focus on recent advances and existing and upcoming challenges.

 * Materials: how are projects dealing with documentation and education materials
 * Methods: What should we do to make our materials more accessible to underrepresented and/or historically marginalised groups?
 * Tools: What are the existing tools in the ecosystem helping us achieve the above goals, and what do we need to develop?

We will give an overview of these different aspects.","This session focuses on issues related to education in the ecosystem, from three different aspects, and during the session, we focus on recent advances and existing and upcoming challenges.

 * Materials: how are projects dealing with documentation and education materials
 * Methods: What should we do to make our materials more accessible to underrepresented and/or historically marginalised groups?
 * Tools: What are the existing tools in the ecosystem helping us achieve the above goals, and what do we need to develop?

We will give an overview of these different aspects.",,S7MRUC,Mx Chiin-Rui Tan
JNXQPB,Introduction to NumPy,confirmed,,Tutorial,,2022-07-13T16:31:15.349772+00:00,,"This tutorial will provide an introduction to the NumPy library intended for beginners.

NumPy is the fundamental package for scientific computing in Python. It is a Python library that provides a multidimensional array object, various derived objects (such as masked arrays and matrices), and an assortment of routines for fast operations on arrays, including mathematical, logical, shape manipulation, sorting, selecting, I/O, discrete Fourier transforms, basic linear algebra, basic statistical operations, random simulation and much more.","This tutorial will provide an introduction to the NumPy library intended for beginners.

You are encouraged to type along with me. For this you bring your laptop with a Firefox 90+ or Chromium 89+ installed. We will work through this repository: https://github.com/maikia/numpy-demo

NumPy is the fundamental package for scientific computing in Python. It is a Python library that provides a multidimensional array object, various derived objects (such as masked arrays and matrices), and an assortment of routines for fast operations on arrays, including mathematical, logical, shape manipulation, sorting, selecting, I/O, discrete Fourier transforms, basic linear algebra, basic statistical operations, random simulation and much more.

This tutorial will notably introduce the following aspects:

- n-dimensional arrays (`ndarray`)
- indexing of `ndarray`
- operations on `ndarray`",,RJ3U9R,Maria Teleńczuk
JS97H9,How to make the most precise measurement,confirmed,,Talk,,2022-06-06T21:55:26.581924+00:00,,"Computer chips are created using photolithography. Today's lithography machines are highly complex machines containing ultra-high precision optics. How do you create and in particular measure these optics? That's easy, you build the world's best interferometer. But what if that's not enough?","Structures on computer chips are getting smaller and smaller. To be able to print these nanometer-sized structures correctly, the surfaces of the used lithography optics have to be manufactured to sub-nanometer precision. We have now reached technical limits on how exactly one can measure these. This talk explains how we can get beyond that.

Measurement precision and accuracy is all about separting the desired signal from any background. When all technical and signal processing techniques are exhausted, the only chance left is to know your background exactly. If you know everything about your measurement machine, you can calculate your background and thus separate signal from backgound. This talk describes how we at Carl Zeiss build complex simulations of our high-end measurement machines to enable the next generations of computer chips.",,8QK3TH,Markus Gruber
K8DEQK,Scientific Python / SPECs,confirmed,,Maintainer track,,2022-08-29T08:48:46.991946+00:00,,"The Scientific Python project aims to better coordinate the ecosystem and grow the community. This session focuses on our efforts to better coordinate project development, and to improve shared infrastructure. In this session together we will discuss project goals and recent technical work.

The Scientific Python project’s vision is to help pave the way towards a unified, expanded scientific Python community. It focuses its efforts along two primary axes: (i) to create a joint community around all scientific projects and (ii) to support maintainers by building cross-cutting technical infrastructure and tools. In this session we mostly focus on the second aspect.

The project has already launched a process whereby projects can, voluntarily, adopt reference guidelines; these are known as SPECs or Scientific Python Ecosystem Coordination documents. SPECs are similar to projects specific guidelines like PEPs, NEPs, SLEPs, and SKIPs, to name a few. The distinction being that SPECs have a broader scope, targeted at all (or most) projects from the scientific Python ecosystem.

The project also provides and maintains tools to help maintainers. This includes a theme for the project websites (used on, e.g., numpy.org and scipy.org), a self-hosted privacy-friendly web analytics platform, a community discussions forum, a technical blog, and project development statistics.

We present these tools, discuss various upcoming SPECs, and highlight the project’s future potential.","The Scientific Python project aims to better coordinate the ecosystem and grow the community. This session focuses on our efforts to better coordinate project development, and to improve shared infrastructure. In this session together we will discuss project goals and recent technical work.

The Scientific Python project’s vision is to help pave the way towards a unified, expanded scientific Python community. It focuses its efforts along two primary axes: (i) to create a joint community around all scientific projects and (ii) to support maintainers by building cross-cutting technical infrastructure and tools. In this session we mostly focus on the second aspect.

The project has already launched a process whereby projects can, voluntarily, adopt reference guidelines; these are known as SPECs or Scientific Python Ecosystem Coordination documents. SPECs are similar to projects specific guidelines like PEPs, NEPs, SLEPs, and SKIPs, to name a few. The distinction being that SPECs have a broader scope, targeted at all (or most) projects from the scientific Python ecosystem.

The project also provides and maintains tools to help maintainers. This includes a theme for the project websites (currently used on, e.g., numpy.org and scipy.org), a self-hosted privacy-friendly web analytics platform, a community discussions forum, a technical blog, and project development statistics.

We present all these tools, discuss various upcoming SPECs, and highlight the project’s future potential.

The Scientific Python project is already supported by eight core projects: IPython, Matplotlib, NetworkX, NumPy, pandas, scikit-image, scikit-learn, and SciPy. The organization has spent the last several months working on the infrastructure, and is now ready to engage more widely to help grow and support the community.",,XF3MEH,Jarrod Millman
KD3D7W,Introduction to pandas,confirmed,,Tutorial,,2022-07-13T16:45:22.860763+00:00,,"This tutorial is an introduction to pandas intended for beginners.

pandas is one of Python's core packages for data science. pandas organizes data into DataFrames and provides powerful methods for manipulating them. The library is built on top of NumPy. It'll be helpful for the tutorial if you have some experience with NumPy arrays, for example, by following the Introduction to NumPy tutorial.","You'll learn how to convert your existing Python lists and dictionaries to DataFrames and how to read data from files into DataFrames. pandas provides powerful methods for transforming data, and you'll get experience with these in hands-on exercises.

The tutorial covers the following topics:

- DataFrames as Panels of Data
- Create DataFrames
- Work With Tidy Data
- Transform DataFrames
- Share Results and Insights

The workshop consists of 90 minutes of live code demonstrations and hands-on exercises.",,CSTAZX,Geir Arne Hjelle
KWFH9N,Informative and pleasant dataviz with Raincloud plot,confirmed,,Poster,,2022-06-09T15:03:16.489391+00:00,,"Categorical plots offer a variety of plotting styles that allows the user to picture even large datasets showing some summary statistics of the data. In some case graphs can be misleading, either unwilling or on purpose. The reader can be confused or even get an incorrect idea of the phenomenon underlying the data.
In this talk we introduce the Raincloud plot, a multi-language plotting style aimed to create charming and informative graphical representations of a dataset. After some introduction, we will offer a simple tutorial that will cover different use cases. We will then compare the Raincloud plots with some other plot styles, showing that some data misunderstanding can be avoided with a sufficiently detailed plot.","Categorical plots offer a variety of plotting styles that allows the user to picture even large datasets showing some summary statistics of the data. In some case graphs can be misleading, either unwilling or on purpose. The reader can be confused or even get an incorrect idea of the phenomenon underlying the data.
In this talk we introduce the Raincloud plot, a multi-language plotting style aimed to create charming and informative graphical representations of a dataset. After some introduction, we will offer a simple tutorial that will cover different use cases. We will then compare the Raincloud plots with some other plot styles, showing that some data misunderstanding can be avoided with a sufficiently detailed plot.",,TTUQ3P,Davide Poggiali
LF777M,Network Science with Python,confirmed,,Tutorial,,2022-06-05T09:43:11.508726+00:00,,"This workshop is for data scientists and other programmers who want to add another tool in their data science toolkit. Modelling, analysing and visualising data as networks! Network Science deals with analysing network data, and the data can come from different fields like politics, finance, computer science, law and even Game of Thrones!","In this workshop we will cover the basics of network theory and network thinking, then we will go over some algorithms used to analyse network data. We will take a quick detour to understand the story between linear algebra and networks. We will then jump on to some real world datasets and how to use our newly acquired skills to tackle the data problems.

This will be a hands-on and interactive tutorial, so get ready to code your way till the end!

By the end of the workshop you should be comfortable with working with network data using the PyData ecosystem (NetworkX, pandas, numpy!).

We will roughly follow the following timeline during the workshop (30 mins each)

Part A: Introduction to Graphs and the NetworkX API

Part B: Graph Algorithms
- Hubs: Which nodes are the important nodes in our data?
- Paths: Where should I jump next to find my destination?
- Structures: Who should I be friends with?

Part C: Linear Algebra and Network Science
- What do matrices have to do with nodes and edges?",,WTK33D,Mridul Seth
LYBCHK,Data-Driven Thresholding for Extreme Event Detection in Geosciences,confirmed,,Talk,,2022-06-05T17:22:50.847852+00:00,,"Extreme weather events are a well known source of human suffering, loss of life, and financial hardship. Amongst these, tropical cyclones are notoriously impactful, leading to significant interest in predicting the genesis, tracks, and intensity of these storms - a task which continues to present significant challenges. In particular, tropical cyclogenesis (TCG) can be described as “a needle in a haystack” problem, and steps must be taken to make predictions tractable. Previously, the filtering of non-genesis points by thresholding predictive variables has been described, with thresholds being selected to reduce the number of discarded TCG cases. In the art, this thresholding has often been carried out empirically, that while effective relies on domain knowledge. This talk instead proposes the development of a systematic, machine-learning-based approach implemented in Python. The method is designed to be interpretable to the point of becoming transparent machine learning. Threshold values that minimize the false-alarm rate and maintain a high recall are found, and then combined in a forward selection algorithm. As other extreme events in the geosciences are considered needle in the haystack problems, the described approach can be of use in reducing the variable space in which to study and predict the events. Finally, the transparent nature of the proposed approach can provide simple insight into the conditions in which these events occur.","Extreme weather events are a well known source of human suffering, loss of life, and financial hardship. Amongst these, tropical cyclones are notoriously impactful, leading to significant interest in predicting the genesis, tracks, and intensity of these storms - a task which continues to present significant challenges. In particular, tropical cyclogenesis (TCG) can be described as “a needle in a haystack” problem, and steps must be taken to make predictions tractable. Previously, the filtering of non-genesis points by thresholding predictive variables has been described, with thresholds being selected to reduce the number of discarded TCG cases. In the art, this thresholding has often been carried out empirically, that while effective relies on domain knowledge. This talk instead proposes the development of a systematic, machine-learning-based approach implemented in Python. The method is designed to be interpretable to the point of becoming transparent machine learning. Threshold values that minimize the false-alarm rate and maintain a high recall are found, and then combined in a forward selection algorithm. As other extreme events in the geosciences are considered needle in the haystack problems, the described approach can be of use in reducing the variable space in which to study and predict the events. Finally, the transparent nature of the proposed approach can provide simple insight into the conditions in which these events occur.",,JZ3LXH,Milton Gomez
P7FQ3Y,Deep learning at the Radiology & Nuclear Medicine Clinic / University Hospital Basel,confirmed,,Talk,,2022-05-31T10:40:51.550853+00:00,,Deep learning can assist radiology doctors in interpreting and analyzing radiology images. We will present use cases which are used today in clinical practice. These range from organ segmentation to image classification.,"We will present how python and deep learning is used at the radiology department at the University Hospital Basel. The talk should give an overview of how the use cases are initially designed, developed and brought to production. One use case will be how deep learning helped quantifying the severity of COVID-19 infected lungs. Another use case will be how it can help to detect vertebrae fractures.",,"E8ZC8Z, SMGL7F","Joshy Cyriac, Jakob Wasserthal"
